TimeStart,TF,Open,High,Low,Close,Volume
2025-05-16 15:00:00,Min5,104141,104413,103353,103711,0.0033
2025-05-16 15:05:00,Min5,103598,104519,103598,104148,0.0082
2025-05-16 15:10:00,Min5,104361,104601,103669,104132,0.0042
2025-05-16 15:15:00,Min5,104499,104499,103578,104181,0.0052
2025-05-16 15:20:00,Min5,103930,104309,103607,103908,0.0031
2025-05-16 15:25:00,Min5,103707,104379,103523,103915,0.0024
2025-05-16 15:30:00,Min5,103816,104465,103574,104309,0.0041
2025-05-16 15:35:00,Min5,103658,104465,103638,103946,0.0060
2025-05-16 15:40:00,Min5,104091,104522,103562,103653,0.0083
2025-05-16 15:45:00,Min5,104530,104530,103428,103428,0.0079
2025-05-16 15:50:00,Min5,104165,104458,103461,103490,0.0053
2025-05-16 15:55:00,Min5,104040,104606,103487,103872,0.0033
2025-05-16 16:00:00,Min5,104677,104909,103934,104215,0.0024
2025-05-16 16:05:00,Min5,104987,104987,103899,104706,0.0049
2025-05-16 16:10:00,Min5,103947,104780,103852,104359,0.0066
2025-05-16 16:15:00,Min5,104248,104679,103609,104059,0.0084
2025-05-16 16:20:00,Min5,103937,104682,103546,103764,0.0050
2025-05-16 16:25:00,Min5,103783,104236,103592,103899,0.0017
2025-05-16 16:30:00,Min5,104222,104462,103590,104056,0.0049
2025-05-16 16:35:00,Min5,104184,104351,103611,103770,0.0057
2025-05-16 16:40:00,Min5,103933,104426,103474,104148,0.0112
2025-05-16 16:45:00,Min5,104197,104476,103608,104089,0.0072
2025-05-16 16:50:00,Min5,103529,104218,103529,104180,0.0063
2025-05-16 16:55:00,Min5,104244,104691,103695,104174,0.0072
2025-05-16 17:00:00,Min5,103791,104715,103734,103919,0.0139
2025-05-16 17:05:00,Min5,104629,104629,103618,104299,0.0033
2025-05-16 17:10:00,Min5,104373,104579,103849,104579,0.0061
2025-05-16 17:15:00,Min5,104081,104789,103768,104714,0.0041
2025-05-16 17:20:00,Min5,104529,104720,103861,104205,0.0023
2025-05-16 17:25:00,Min5,104134,104825,103805,104183,0.0064
2025-05-16 17:30:00,Min5,104035,104476,103708,104182,0.0039
2025-05-16 17:35:00,Min5,104620,104620,103704,104363,0.0138
2025-05-16 17:40:00,Min5,104316,104429,103723,104351,0.0064
2025-05-16 17:45:00,Min5,104452,104563,103546,104168,0.0056
2025-05-16 17:50:00,Min5,103951,104450,103514,104230,0.0019
2025-05-16 17:55:00,Min5,103320,104334,103320,104024,0.0022
2025-05-16 18:00:00,Min5,104123,104385,103467,104291,0.0053
2025-05-16 18:05:00,Min5,103624,104492,103582,104307,0.0030
2025-05-16 18:10:00,Min5,104370,104494,103552,104113,0.0045
2025-05-16 18:15:00,Min5,103782,104449,103525,104251,0.0035
2025-05-16 18:20:00,Min5,103742,104487,103434,103434,0.0056
2025-05-16 18:25:00,Min5,103625,104460,103450,103572,0.0057
2025-05-16 18:30:00,Min5,104236,104460,103590,103680,0.0144
2025-05-16 18:35:00,Min5,103485,104404,103485,104251,0.0115
2025-05-16 18:40:00,Min5,104251,104423,103361,103698,0.0072
2025-05-16 18:45:00,Min5,104346,104346,103438,103857,0.0019
2025-05-16 18:50:00,Min5,103734,104219,103374,103433,0.0041
2025-05-16 18:55:00,Min5,103586,104206,103304,103355,0.0024
2025-05-16 19:00:00,Min5,103204,104316,103204,103996,0.0026
2025-05-16 19:05:00,Min5,103834,104232,103225,104048,0.0043
2025-05-16 19:10:00,Min5,103630,104219,103245,103681,0.0068
2025-05-16 19:15:00,Min5,103260,104086,103211,103273,0.0071
2025-05-16 19:20:00,Min5,103466,104152,103172,103790,0.0052
2025-05-16 19:25:00,Min5,103147,104085,103147,103251,0.0075
2025-05-16 19:30:00,Min5,104015,104247,103829,104247,0.0030
2025-05-16 19:35:00,Min5,103905,104271,103418,103755,0.0046
2025-05-16 19:40:00,Min5,103389,104256,103347,103347,0.0066
2025-05-16 19:45:00,Min5,104032,104325,103367,104203,0.0137
2025-05-16 19:50:00,Min5,103412,104186,103412,104094,0.0028
2025-05-16 19:55:00,Min5,103577,104315,103490,104315,0.0087
2025-05-16 20:00:00,Min5,103975,104178,103438,103877,0.0054
2025-05-16 20:05:00,Min5,103367,104390,103367,103502,0.0097
2025-05-16 20:10:00,Min5,103681,104414,103396,103396,0.0089
2025-05-16 20:15:00,Min5,104228,104411,103423,103494,0.0040
2025-05-16 20:20:00,Min5,104161,104182,103345,103345,0.0080
2025-05-16 20:25:00,Min5,104034,104395,103400,104234,0.0098
2025-05-16 20:30:00,Min5,104002,104290,103210,103457,0.0054
